2018-06-21 10:48:24,484 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,008 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,275 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,336 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,399 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,933 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,948 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:26,242 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:26,345 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:26,346 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:27,043 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:27,043 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:27,289 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:27,414 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:27,427 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:27,960 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:28,379 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:29,067 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:29,426 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:30,314 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:32,038 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:32,352 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:32,447 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:34,058 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:34,501 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:35,343 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:37,065 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:37,374 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:37,469 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:39,078 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:39,497 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:40,331 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:42,060 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:42,374 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:42,474 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:44,071 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:44,500 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:45,348 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:47,083 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:47,379 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:47,496 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:49,110 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:49,517 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:50,387 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:52,078 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:52,420 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:52,500 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:53,410 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
